Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
406	423	436	366
502	994	694	1070
482	489	549	577
71	56	121	14
764	1084	896	700
288	310	379	224
267	65	216	395
487	426	438	398
83	80	95	151
1048	935	1231	1232
511	948	777	1248
816	914	818	1038
444	609	488	441
171	440	209	134
102	96	176	18
745	536	774	655
823	745	719	666
261	392	418	473
987	1539	1153	1072
1205	1466	1589	1842
254	72	224	236
54	159	52	92
124	77	139	113
300	244	307	467
384	550	580	463
257	338	380	247
469	197	522	280
173	305	263	250
98	286	181	91
33	12	56	80
239	274	277	190
257	210	281	202
107	42	133	56
123	24	123	17
48	97	76	333
136	40	129	118
434	449	494	338
165	258	223	230
72	245	190	112
82	102	153	77
474	276	332	783
187	121	280	149
213	368	127	160
147	79	181	166
267	483	353	174
360	340	286	395
719	869	860	902
405	516	567	665
1197	1040	1563	1783
993	1449	1234	1357
583	444	826	1305
500	755	705	879
618	447	636	465
487	820	665	1057
251	53	177	277
110	143	209	77
346	337	260	485
207	271	297	231
772	1109	901	788
166	248	224	576
400	249	513	471
23	9	52	23
123	157	145	85
309	227	319	178
365	167	511	283
138	335	211	225
481	520	613	551
157	134	193	491
118	106	155	385
312	424	436	246
396	501	415	586
177	199	191	173
729	683	917	800
939	1426	1303	1419
175	87	224	240
98	76	168	95
75	37	72	68
78	8	196	122
1018	1053	1145	1815
84	175	124	160
67	39	88	191
54	44	64	107
191	196	174	206
400	449	404	951
97	27	88	130
217	167	218	133
205	258	258	178
93	66	121	113
47	71	104	33
616	534	731	477
190	163	252	257
469	727	760	656
398	460	441	681
631	904	653	870
265	497	311	212
720	864	1114	821
570	852	601	902
403	387	532	559
91	133	127	51
127	180	268	205
168	265	246	646
181	164	192	171
99	59	145	115
70	267	99	115
596	671	883	735
168	199	247	398
930	889	934	729
549	519	651	737
333	354	416	484
571	639	684	599
349	306	403	741
228	345	304	390
352	371	439	209
248	285	322	269
98	66	157	92
288	344	253	199
112	161	175	206
425	714	508	439
1273	90	229	216
485	345	654	439
96	43	122	206
214	207	257	269
37	41	36	21
19	83	37	47
52	10	47	31
563	957	593	743
717	970	1030	1481
104	47	202	531
58	69	152	214
547	427	581	822
448	400	419	949
540	1235	745	793
169	105	158	61
114	109	205	189
1722	2252	1988	2087
94	115	140	53
52	60	118	74
287	241	400	231
1214	1325	1408	3199
303	259	520	361
172	205	138	174
120	198	108	79
685	769	962	735
447	389	580	3731
340	295	420	369
441	449	441	522
459	445	463	580
461	415	508	511
89	5	93	87
472	389	420	785
414	586	623	1045
247	210	270	231
206	234	306	346
396	537	443	565
146	217	136	235
98	210	142	150
636	525	834	942
974	1066	1244	1011
112	57	123	212
151	271	275	297
135	191	185	58
274	322	439	627
186	182	298	336
637	621	836	956
615	1017	940	1029
236	365	285	311
161	288	261	321
323	25	414	247
109	182	83	200
594	653	671	828
1125	2139	1476	1813
396	188	275	449
185	167	199	277
634	489	762	683
293	549	318	171
481	515	497	365
267	592	289	389
183	172	158	99
532	822	665	666
148	734	339	253
241	502	320	563
487	495	488	552
702	813	895	923
534	613	647	720
225	447	249	293
536	465	564	487
526	187	196	197
130	118	169	275
63	47	109	238
336	263	422	200
130	33	191	75
514	937	819	1246
168	112	221	134
372	311	417	513
250	638	283	211
322	387	475	423
194	239	215	265
220	122	322	373
178	38	198	285
181	194	203	178
207	212	246	552
362	431	395	196
584	699	647	786
147	185	137	157
191	135	288	185
486	395	471	412
297	163	341	544
180	111	268	253
468	546	420	249
135	225	194	217
86	1	148	95
488	821	556	529
47	30	84	132
97	161	130	302
354	537	382	364
417	588	618	350
68	5	73	87
43	125	45	85
300	144	299	257
52	34	20	143
324	445	523	610
260	198	191	268
658	889	823	1056
525	629	634	549
117	140	79	198
214	214	292	267
92	141	124	64
275	343	403	435
270	254	334	248
553	588	569	1088
218	113	217	151
610	685	742	968
183	54	147	208
160	129	183	288
442	305	566	458
103	102	166	59
395	458	393	382
105	455	134	161
152	140	194	192
163	721	149	89
253	302	395	371
364	481	487	704
361	336	455	445
373	534	485	453
593	690	642	871
105	181	104	162
528	649	707	667
114	297	197	417
613	243	242	513
127	154	226	48
168	109	157	177
102	391	200	115
139	115	136	132
201	178	145	530
950	781	1300	2188
685	797	640	612
701	608	833	759
661	688	845	562
503	786	476	617
181	264	200	73
201	334	268	305
346	302	353	423
58	16	42	58
353	37	315	117
232	271	359	391
243	398	406	379
46	25	17	0
377	497	488	600
345	539	539	420
300	73	393	87
420	526	511	653
354	429	505	487
485	659	562	645
88	136	125	142
